--- Headless Training Worker ---
Loading config: runs/bg_sweep_20260223_233248.pkl
Found 1 jobs to run.
Output directory: runs

[Job 1/1] simple_cnn | image_only | self-supervised
[simple_cnn | image_only | self-supervised] [ep 57/100] Train SSL Loss=5.0562 Val SSL Loss=5.0307
[simple_cnn | image_only | self-supervised] [ep 58/100] Train SSL Loss=5.0562 Val SSL Loss=5.0317
[simple_cnn | image_only | self-supervised] [ep 59/100] Train SSL Loss=5.0562 Val SSL Loss=5.0321
[simple_cnn | image_only | self-supervised] [ep 60/100] Train SSL Loss=5.0568 Val SSL Loss=5.0324
[simple_cnn | image_only | self-supervised] [ep 61/100] Train SSL Loss=5.0566 Val SSL Loss=5.0364
[simple_cnn | image_only | self-supervised] [ep 62/100] Train SSL Loss=5.0575 Val SSL Loss=5.0329
[simple_cnn | image_only | self-supervised] [ep 63/100] Train SSL Loss=5.0570 Val SSL Loss=5.0317
[simple_cnn | image_only | self-supervised] [ep 64/100] Train SSL Loss=5.0571 Val SSL Loss=5.0317
[simple_cnn | image_only | self-supervised] [ep 65/100] Train SSL Loss=5.0572 Val SSL Loss=5.0327
[simple_cnn | image_only | self-supervised] [ep 66/100] Train SSL Loss=5.0570 Val SSL Loss=5.0378
[simple_cnn | image_only | self-supervised] [ep 67/100] Train SSL Loss=5.0553 Val SSL Loss=5.0338
[simple_cnn | image_only | self-supervised] [ep 68/100] Train SSL Loss=5.0567 Val SSL Loss=5.0317
[simple_cnn | image_only | self-supervised] [ep 69/100] Train SSL Loss=5.0566 Val SSL Loss=5.0307
[simple_cnn | image_only | self-supervised] [ep 70/100] Train SSL Loss=5.0569 Val SSL Loss=5.0307
[simple_cnn | image_only | self-supervised] [ep 71/100] Train SSL Loss=5.0573 Val SSL Loss=5.0332
[simple_cnn | image_only | self-supervised] [ep 72/100] Train SSL Loss=5.0563 Val SSL Loss=5.0339
[simple_cnn | image_only | self-supervised] [ep 73/100] Train SSL Loss=5.0569 Val SSL Loss=5.0409
[simple_cnn | image_only | self-supervised] [ep 74/100] Train SSL Loss=5.0572 Val SSL Loss=5.0341
[simple_cnn | image_only | self-supervised] [ep 75/100] Train SSL Loss=5.0557 Val SSL Loss=5.0333
[simple_cnn | image_only | self-supervised] [ep 76/100] Train SSL Loss=5.0561 Val SSL Loss=5.0313
[simple_cnn | image_only | self-supervised] [ep 77/100] Train SSL Loss=5.0569 Val SSL Loss=5.0385
[simple_cnn | image_only | self-supervised] [ep 78/100] Train SSL Loss=5.0560 Val SSL Loss=5.0329
[simple_cnn | image_only | self-supervised] [ep 79/100] Train SSL Loss=5.0568 Val SSL Loss=5.0313
[simple_cnn | image_only | self-supervised] [ep 80/100] Train SSL Loss=5.0572 Val SSL Loss=5.0314
[simple_cnn | image_only | self-supervised] [ep 81/100] Train SSL Loss=5.0558 Val SSL Loss=5.0318
[simple_cnn | image_only | self-supervised] [ep 82/100] Train SSL Loss=5.0571 Val SSL Loss=5.0326
[simple_cnn | image_only | self-supervised] [ep 83/100] Train SSL Loss=5.0576 Val SSL Loss=5.0365
[simple_cnn | image_only | self-supervised] [ep 84/100] Train SSL Loss=5.0562 Val SSL Loss=5.0330
[simple_cnn | image_only | self-supervised] [ep 85/100] Train SSL Loss=5.0575 Val SSL Loss=5.0391
[simple_cnn | image_only | self-supervised] [ep 86/100] Train SSL Loss=5.0558 Val SSL Loss=5.0330
[simple_cnn | image_only | self-supervised] [ep 87/100] Train SSL Loss=5.0562 Val SSL Loss=5.0317
[simple_cnn | image_only | self-supervised] [ep 88/100] Train SSL Loss=5.0565 Val SSL Loss=5.0322
[simple_cnn | image_only | self-supervised] [ep 89/100] Train SSL Loss=5.0558 Val SSL Loss=5.0318
[simple_cnn | image_only | self-supervised] [ep 90/100] Train SSL Loss=5.0555 Val SSL Loss=5.0311
[simple_cnn | image_only | self-supervised] [ep 91/100] Train SSL Loss=5.0563 Val SSL Loss=5.0316
[simple_cnn | image_only | self-supervised] [ep 92/100] Train SSL Loss=5.0562 Val SSL Loss=5.0359
[simple_cnn | image_only | self-supervised] [ep 93/100] Train SSL Loss=5.0576 Val SSL Loss=5.0325
[simple_cnn | image_only | self-supervised] [ep 94/100] Train SSL Loss=5.0565 Val SSL Loss=5.0346
[simple_cnn | image_only | self-supervised] [ep 95/100] Train SSL Loss=5.0573 Val SSL Loss=5.0350
[simple_cnn | image_only | self-supervised] [ep 96/100] Train SSL Loss=5.0549 Val SSL Loss=5.0336
[simple_cnn | image_only | self-supervised] [ep 97/100] Train SSL Loss=5.0554 Val SSL Loss=5.0315
[simple_cnn | image_only | self-supervised] [ep 98/100] Train SSL Loss=5.0554 Val SSL Loss=5.0377
[simple_cnn | image_only | self-supervised] [ep 99/100] Train SSL Loss=5.0577 Val SSL Loss=5.0377
[simple_cnn | image_only | self-supervised] [ep 100/100] Train SSL Loss=5.0749 Val SSL Loss=5.0323
[simple_cnn | image_only | self-supervised] Done in 2714.4s.
[Job 1] Finished Successfully.
